id,station_name,status_code,ev_network,ev_network_web,city,county,state,zip,latitude,longitude,ev_dc_fast_num,ev_level2_evse_num,ev_connector_types,access_days_time,facility_type,station_phone,region
7212,Sacramento International Airport - Daily A Lot,E,Non-Networked,,Sacramento,,CA,95837,38.69005,-121.58889,0,4,J1772,24 hours daily; pay lot,AIRPORT,916-874-0670,Sacramento
7229,City of Santa Monica - Airport,E,Non-Networked,,Santa Monica,,CA,90405,34.017081,-118.44704,0,2,J1772,24 hours daily,AIRPORT,310-458-8516,Santa Monica
7230,City of Santa Monica - Pier,E,Non-Networked,,Santa Monica,,CA,90405,34.010021,-118.49583,0,3,J1772,24 hours daily; pay lot,MUNI_GOV,310-458-8516,Santa Monica
7233,Westfield Parking Garage 1st Floor,E,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,Sherman Oaks,,CA,91423,34.156407,-118.438965,0,2,J1772,Mon: 6:00am-11:59pm; Tue: 6:00am-11:59pm; Wed: 6:00am-11:59pm; Thu: 6:00am-11:59pm; Fri: 6:00am-11:59pm; Sat: 6:00am-11:59pm; Sun: 6:00am-11:59pm,,855-900-7584,Sherman Oaks
7242,Universal City Hilton,E,Non-Networked,,Universal City,,CA,91608,34.13722,-118.35835,0,10,"J1772,NEMA520",24 hours daily; pay lot; see valet for access; Drivers must bring their own J1772 cordset for Level 1 charging,HOTEL,818-506-2500,Universal City
7250,Office Max - Home Depot,E,Non-Networked,,Downey,,CA,90241,33.94756,-118.153806,0,4,J1772,24 hours daily,SHOPPING_CENTER,562-806-6600,Downey
7280,Hyatt at Fisherman's Wharf,E,Non-Networked,,San Francisco,,CA,94133,37.80619,-122.4152,0,1,J1772,24 hours daily; pay lot; guest use only; see valet for access; 3 hour maximum,HOTEL,415-563-1234,San Francisco
7286,Arden Fair Mall,E,Non-Networked,,Sacramento,,CA,95815,38.599693,-121.427045,0,4,J1772,24 hours daily,SHOPPING_MALL,916-920-1167,Sacramento
21358,Palace Hotel,E,Non-Networked,,San Francisco,,CA,94105,37.78881,-122.401,0,2,J1772,24 hours daily,HOTEL,415-512-1111,San Francisco
21360,Mark Hopkins InterContinental Hotel,E,Non-Networked,,San Francisco,,CA,94108,37.791791,-122.411265,0,1,J1772,24 hours daily; for guest use only; see valet for access,HOTEL,415-392-3434,San Francisco
21395,California State University - Northridge,E,Non-Networked,,Northridge,,CA,91330,34.248959,-118.523887,0,2,J1772,24 hours daily; parking permit required,COLLEGE_CAMPUS,818-677-1200,Northridge
21396,California State University - Northridge,E,Non-Networked,,Northridge,,CA,91330,34.241687,-118.528543,0,2,J1772,24 hours daily; parking permit required,COLLEGE_CAMPUS,818-677-1200,Northridge
21397,California State University - Northridge,E,Non-Networked,,Northridge,,CA,91330,34.236853,-118.532588,0,4,J1772,24 hours daily; parking permit required,COLLEGE_CAMPUS,818-677-1200,Northridge
21402,Los Angeles Harbor Department Headquarters,E,Non-Networked,,San Pedro,,CA,90731,33.740758,-118.28192,0,4,J1772,8am-5pm daily,PARKING_LOT,310-732-7678,San Pedro
21419,Getty Center,E,Non-Networked,,Los Angeles,,CA,90049,34.077588,-118.474585,0,15,"J1772,NEMA520",Garage business hours; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,PARKING_GARAGE,310-440-7300,Los Angeles
21450,LA County DPR Arboretum,E,POWERFLEX,https://www.powerflex.com,Arcadia,,CA,91007,34.145528,-118.050548,0,3,J1772,24 hours daily,PARK,833-479-7359,Arcadia
21524,DoubleTree Hotel - Los Angeles - Westside,E,Non-Networked,,Culver City,,CA,90230,33.9826,-118.3966,0,2,J1772,24 hours daily; guest use only; see valet,HOTEL,310-649-1776,Culver City
21525,Helms Bakery Building,E,Non-Networked,,Los Angeles,,CA,90034,34.029971,-118.385231,0,6,J1772,24 hours daily,PARKING_GARAGE,310-204-1865,Los Angeles
21535,Westfield MainPlace Mall,E,Non-Networked,,Santa Ana,,CA,92705,33.777054,-117.870566,0,8,J1772,Business hours,SHOPPING_MALL,714-547-7800,Santa Ana
21559,California State University - Channel Islands,E,Non-Networked,,Camarillo,,CA,93012,34.16657601660278,-119.045854662704,0,5,J1772,24 hours daily; parking pass required or day pass available for purchase,COLLEGE_CAMPUS,805-437-8400,Camarillo
21561,Brea Downtown Parking,E,Non-Networked,,Brea,,CA,92821,33.919899,-117.898618,0,4,J1772,Garage business hours; 4 hour parking limit,PARKING_GARAGE,714-990-7650,Brea
21565,Home Depot,E,Non-Networked,,Newbury Park,,CA,91320,34.192178,-118.934793,0,2,"J1772,NEMA515",24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,SHOPPING_CENTER,805-375-6680,Newbury Park
21566,Lake Casitas Municipal Water District - Recreational Area,E,Non-Networked,,Oak View,,CA,93022,34.418322,-119.3368,0,1,J1772,8am-5pm daily,PARK,805-649-2233,Oak View
21569,San Dimas Park & Ride,E,Non-Networked,,San Dimas,,CA,91773,34.105275,-117.809208,0,2,J1772,24 hours daily,PARKING_LOT,909-394-6271,San Dimas
21606,Ventura County Government Center,E,Non-Networked,,Ventura,,CA,93009,34.267352,-119.2124,0,3,J1772,8am-5pm daily,MUNI_GOV,,Ventura
21607,Ventura County Air Pollution Control District,E,Non-Networked,,Ventura,,CA,93003,34.268756,-119.2154,0,3,J1772,8am-5pm daily,MUNI_GOV,805-645-1400,Ventura
21609,LADWP - Scattergood Generating Facility,E,Non-Networked,,Playa Del Rey,,CA,90293,33.917593,-118.425334,0,21,J1772,Fleet use only,UTILITY,,Playa Del Rey
21612,LA County DPW Baldwin Park,E,Non-Networked,,Baldwin Park,,CA,91706,34.089085,-117.95463,0,3,J1772,,FLEET_GARAGE,,Baldwin Park
21618,LA County DPW Imperial,E,POWERFLEX,https://www.powerflex.com,South Gate,,CA,90280,33.930663,-118.175758,0,1,J1772,,MUNI_GOV,,South Gate
21673,University of California - Davis Extension - Lot 80,E,Non-Networked,,Davis,,CA,95616,38.539336,-121.732405,0,3,"J1772,NEMA520",24 hours daily; parking pass required; Drivers must bring their own J1772 cordset for Level 1 charging,COLLEGE_CAMPUS,530-752-8277,Davis
21713,San Luis Obispo County Air Pollution Control District,E,Non-Networked,,San Luis Obispo,,CA,93401,35.25939,-120.64492,0,1,"J1772,NEMA520",For fleet vehicle use only; Drivers must bring their own J1772 cordset for Level 1 charging,MUNI_GOV,,San Luis Obispo
25171,LADWP - Wilmington District Yard,E,Non-Networked,,Wilmington,,CA,90744,33.773005,-118.265821,0,8,J1772,Fleet use only,UTILITY,,Wilmington
25491,Fair Oaks - Orangevale - Community Library,E,Non-Networked,,Fair Oaks,,CA,95628,38.66292,-121.2634,0,2,J1772,24 hours daily,PARKING_LOT,916-264-2700,Fair Oaks
25494,Sutter Galleria Mall - University of California - Davis Extension,E,Non-Networked,,Sacramento,,CA,95816,38.57277,-121.467902,0,2,"J1772,NEMA520",24 hours daily; pay lot; visitor and student use only; Drivers must bring their own J1772 cordset for Level 1 charging,COLLEGE_CAMPUS,916-327-7072,Sacramento
25497,North Highlands Library,E,Non-Networked,,Antelope,,CA,95843,38.7042,-121.365,0,1,J1772,24 hours daily,LIBRARY,916-264-2920,Antelope
25500,Gateway Oaks Metro Center,E,Non-Networked,,Sacramento,,CA,95833,38.615468,-121.517263,0,1,J1772,Tenant use only,OFFICE_BLDG,916-921-5795,Sacramento
25501,University of California - Davis - Medical Center,E,Non-Networked,,Sacramento,,CA,95817,38.552483,-121.4487,0,2,J1772,24 hours daily,HOSPITAL,800-282-3284,Sacramento
25507,Mosquito Road Park and Ride,E,Non-Networked,,Placerville,,CA,95667,38.73323,-120.78962,0,2,J1772,Lot business hours; overnight parking prohibited,MUNI_GOV,530-642-5383,Placerville
25511,City of Vacaville - Cultural Center,E,Non-Networked,,Vacaville,,CA,95687,38.356027,-121.9628,0,1,J1772,24 hours daily,MUNI_GOV,707-449-5424,Vacaville
25514,Stars Recreation Center,E,Non-Networked,,Vacaville,,CA,95688,38.36557,-121.967,0,4,J1772,24 hours daily,REC_SPORTS_FACILITY,707-449-5424,Vacaville
25515,City of Vacaville - Regional Transport Center,E,Non-Networked,,Vacaville,,CA,95688,38.35172,-121.987,0,2,J1772,24 hours daily,TRAVEL_CENTER,707-449-5424,Vacaville
25516,Office of Housing & Redevelopment,E,Non-Networked,,Vacaville,,CA,95688,38.356907,-122.001886,0,2,J1772,24 hours daily,OFFICE_BLDG,707-449-5424,Vacaville
25517,KUIC Radio - Parking Lot,E,Non-Networked,,Vacaville,,CA,95688,38.355867,-121.9862,0,1,J1772,24 hours daily,PARKING_LOT,707-449-5424,Vacaville
25518,City of Vacaville - City Hall,E,Non-Networked,,Vacaville,,CA,95688,38.351758,-121.994475,0,7,J1772,24 hours daily; Primarily government use,MUNI_GOV,,Vacaville
25519,Citrus Heights City Hall,E,Non-Networked,,Citrus Heights,,CA,95621,38.682605,-121.297614,0,4,J1772,24 hours daily,MUNI_GOV,916-725-2448,Citrus Heights
25520,Pitt School Plaza,E,Non-Networked,,Dixon,,CA,95620,38.457369,-121.842567,0,0,NEMA520,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,SHOPPING_CENTER,707-449-5424,Dixon
25522,El Dorado County Government Center,E,Non-Networked,,Placerville,,CA,95667,38.72799,-120.828,0,3,J1772,24 hours daily,MUNI_GOV,530-621-5300,Placerville
25523,El Dorado Transit Park & Ride,E,Non-Networked,,El Dorado Hills,,CA,95762,38.6476,-121.067,0,2,J1772,24 hours daily,MUNI_GOV,530-642-5383,El Dorado Hills
25525,Elk Grove Kia,E,Non-Networked,,Elk Grove,,CA,95758,38.40553,-121.391,0,1,J1772,Service center use only,CAR_DEALER,,Elk Grove
25527,CVS Pharmacy,E,Non-Networked,,Granite Bay,,CA,95746,38.74453,-121.17,0,1,J1772,8am-10pm daily,CONVENIENCE_STORE,916-791-1189,Granite Bay
25610,Carmichael Library,E,Non-Networked,,Carmichael,,CA,95608,38.618066,-121.334337,0,1,J1772,24 hours daily,LIBRARY,916-264-2700  916-264-2920,Carmichael
27302,Rio Vista City Hall,E,Non-Networked,,Rio Vista,,CA,94571,38.15485,-121.69,0,1,J1772,24 hours daily,MUNI_GOV,707-374-6451,Rio Vista
27328,Fairfield City Hall,E,Non-Networked,,Fairfield,,CA,94533,38.25281,-122.044229,0,2,J1772,24 hours daily; 2 hour limit,MUNI_GOV,707-428-7414,Fairfield
27329,Solano Community College,E,Non-Networked,,Fairfield,,CA,94534,38.23723,-122.123,0,3,J1772,24 hours daily,COLLEGE_CAMPUS,707-449-5424,Fairfield
27335,Vallejo Ferry Terminal,E,Non-Networked,,Vallejo,,CA,94590,38.105062,-122.265895,0,0,,24 hours daily,TRAVEL_CENTER,707-449-5424,Vallejo
28007,Los Angeles International Airport (LAX) - Lot 1,E,Non-Networked,,Los Angeles,,CA,90045,33.944761,-118.399767,0,20,J1772,24 hours daily; pay lot,AIRPORT,310-646-2911,Los Angeles
29862,City of Vacaville - Police Headquarters,E,Non-Networked,,Vacaville,,CA,95688,38.35109,-121.993654,0,1,J1772,,MUNI_GOV,,Vacaville
33177,LADWP - Boylston,E,Non-Networked,,Los Angeles,,CA,90026,34.059047,-118.256812,0,17,J1772,Employee use only,UTILITY,,Los Angeles
33178,LADWP - Central District,E,Non-Networked,,Los Angeles,,CA,90015,34.033898,-118.256673,0,19,J1772,Fleet use only,UTILITY,,Los Angeles
33179,LADWP - Lincoln Heights District,E,Non-Networked,,Los Angeles,,CA,90031,34.081998,-118.21713,0,79,J1772,Fleet use only,UTILITY,,Los Angeles
33180,LADWP - Receiving Station C,E,Non-Networked,,Wilmington,,CA,90744,33.799476,-118.257977,0,2,J1772,Fleet use only,UTILITY,,Wilmington
33182,LADWP - Valley Center Admin Lot,E,Non-Networked,,Van Nuys,,CA,91405,34.208708,-118.444358,2,95,"CHADEMO,J1772,J1772COMBO",Fleet and employee use only,UTILITY,,Van Nuys
33183,LADWP - Valley Generating Station,E,Non-Networked,,Sun Valley,,CA,91352,34.241928,-118.390147,0,17,J1772,Fleet and employee use only,UTILITY,,Sun Valley
33545,Nut Tree Village,E,Non-Networked,,Vacaville,,CA,95688,38.368755,-121.961192,0,1,"J1772,NEMA515",24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,SHOPPING_CENTER,707-449-5424,Vacaville
33555,4th and G Plaza Public Parking Garage,E,Non-Networked,,Davis,,CA,95616,38.54643,-121.7388,0,2,J1772,6am-2am daily,PARKING_GARAGE,530-753-7730,Davis
33556,Davis Amtrak Station,E,Non-Networked,,Davis,,CA,95616,38.5443,-121.738,0,2,J1772,24 hours daily,PAY_LOT,,Davis
33557,University of California - Davis - Quad Parking Structure,E,Non-Networked,,Davis,,CA,95616,38.544538,-121.749713,0,7,"J1772,NEMA520",24 hours daily; pay lot; parking permit required; Drivers must bring their own J1772 cordset for Level 1 charging,COLLEGE_CAMPUS,530-752-8277,Davis
33558,University Covenant Church,E,Non-Networked,,Davis,,CA,95618,38.55755,-121.6947,0,1,J1772,For guests/workers only,PLACE_OF_WORSHIP,530-756-3923,Davis
33559,Wildhorse Golf Club,E,Non-Networked,,Davis,,CA,95618,38.569412,-121.721373,0,2,J1772,24 hours daily; customer use only,REC_SPORTS_FACILITY,530-753-4900,Davis
33564,Lakewood Center Mall,E,Non-Networked,,Lakewood,,CA,90712,33.84788,-118.13889,0,2,J1772,5am-10pm daily,SHOPPING_MALL,562-531-6707,Lakewood
33690,Golden Gate Ferry Terminal,E,Non-Networked,,Larkspur,,CA,94939,37.94495,-122.5096,0,2,J1772,24 hours daily; pay lot,PARKING_LOT,415-925-5570,Larkspur
33695,Oakland International Airport - Daily Lot,E,Non-Networked,,Oakland,,CA,94621,37.7136,-122.2087,0,4,J1772,24 hours daily; pay lot,AIRPORT,510-563-3361,Oakland
35146,Fairfield Transportation Center,E,Non-Networked,,Fairfield,,CA,94533,38.2482,-122.0678,0,2,J1772,24 hours daily,TRAVEL_CENTER,707-434-3800,Fairfield
35560,Home Depot,E,Non-Networked,,San Luis Obispo,,CA,93405,35.249929,-120.689683,0,2,J1772,24 hours daily,SHOPPING_CENTER,805-596-0857,San Luis Obispo
35561,San Luis Obispo Promenade - Bed Bath & Beyond,E,Non-Networked,,San Luis Obispo,,CA,93401,35.25982,-120.676,0,4,J1772,24 hours daily,SHOPPING_CENTER,805-545-7556  805-542-9004,San Luis Obispo
38379,Toyota of Santa Monica,E,Non-Networked,,Santa Monica,,CA,90401,34.019875,-118.49151,0,3,J1772,Dealership business hours; priority for customer use,CAR_DEALER,310-394-6744,Santa Monica
38518,Beach & Hyde Garage,E,Non-Networked,,San Francisco,,CA,94109,37.806798,-122.419488,0,5,J1772,24 hours daily; pay lot,PAY_GARAGE,415-447-0232,San Francisco
38521,City of Santa Monica - Civic Parking Garage,E,Non-Networked,,Santa Monica,,CA,90401,34.010528,-118.4898,2,12,"CHADEMO,J1772",24 hours daily; pay lot,MUNI_GOV,310-458-8516,Santa Monica
39314,Super 8 - Ukiah,E,Non-Networked,,Ukiah,,CA,95482,39.1458,-123.198497,0,1,J1772,24 hours daily; guest use only,HOTEL,707-468-8181,Ukiah
39870,Antioch Nissan,E,Non-Networked,,Antioch,,CA,94509,38.007799,-121.832042,1,1,"CHADEMO,J1772,J1772COMBO",Dealership business hours,CAR_DEALER,925-755-2600,Antioch
39871,Nissan of Bakersfield,E,Non-Networked,,Bakersfield,,CA,93313,35.310723,-119.035324,1,3,"CHADEMO,J1772,J1772COMBO",Dealership business hours,CAR_DEALER,661-835-8600,Bakersfield
39872,Buena Park Nissan,E,Non-Networked,,Buena Park,,CA,90621,33.865497,-117.995215,1,3,"CHADEMO,J1772,J1772COMBO",Dealership business hours,CAR_DEALER,714-739-0800,Buena Park
39873,Carson Nissan,E,Non-Networked,,Carson,,CA,90745,33.82498,-118.24566,1,2,"CHADEMO,J1772,J1772COMBO",Dealership business hours,CAR_DEALER,310-221-5119,Carson
39874,Palm Springs Nissan,E,Non-Networked,,Cathedral City,,CA,92234,33.78414,-116.471,1,1,"CHADEMO,J1772",Dealership business hours,CAR_DEALER,760-328-2828,Cathedral City
39875,Cerritos Nissan,E,Non-Networked,,Cerritos,,CA,90703,33.861544,-118.100471,1,1,"CHADEMO,J1772,J1772COMBO",Dealership business hours,CAR_DEALER,562-402-2277,Cerritos
39876,Chico Nissan,E,Non-Networked,,Chico,,CA,95926,39.75674,-121.84372,1,3,"CHADEMO,J1772,J1772COMBO",Dealership business hours,CAR_DEALER,530-891-1777,Chico
39877,Puente Hills Nissan,E,Non-Networked,,City Of Industry,,CA,91748,33.997621,-117.928216,1,2,"CHADEMO,J1772,J1772COMBO",Dealership business hours,CAR_DEALER,,City Of Industry
39878,Lithia Nissan - Clovis,E,Non-Networked,,Clovis,,CA,93612,36.83692,-119.71718,0,1,J1772,Dealership business hours,CAR_DEALER,559-297-6919,Clovis
39880,Autocom Nissan - Concord,E,Non-Networked,,Concord,,CA,94520,37.980192,-122.050128,0,1,J1772,Dealership business hours,CAR_DEALER,925-676-4400,Concord
39881,Larry H Miller Nissan,E,Non-Networked,,Corona,,CA,92882,33.88319,-117.61565,1,2,"CHADEMO,J1772",Dealership business hours,CAR_DEALER,951-735-3360,Corona
39882,Orange Coast Nissan,E,Non-Networked,,Costa Mesa,,CA,92626,33.675397,-117.918684,1,2,"CHADEMO,J1772,J1772COMBO",Dealership business hours,CAR_DEALER,714-681-1738,Costa Mesa
39883,Hanlees Nissan,E,Non-Networked,,Davis,,CA,95618,38.55252,-121.69156,1,1,"CHADEMO,J1772",Dealership business hours,CAR_DEALER,530-231-3000,Davis
39884,Downey Nissan,E,Non-Networked,,Downey,,CA,90241,33.9473,-118.151166,2,4,"J1772,J1772COMBO",Dealership business hours,CAR_DEALER,562-334-1090,Downey
39885,Nissan of Duarte,E,Non-Networked,,Duarte,,CA,91010,34.136553,-117.975944,0,1,J1772,Dealership business hours,CAR_DEALER,626-305-3000,Duarte
39886,Mossy Nissan - El Cajon,E,Non-Networked,,El Cajon,,CA,92020,32.795896,-116.976156,0,1,J1772,Dealership business hours,CAR_DEALER,619-588-0500,El Cajon
39887,Ross Nissan El Monte,E,Non-Networked,,El Monte,,CA,91731,34.06964,-118.02703,1,2,"CHADEMO,J1772,J1772COMBO",Dealership business hours,CAR_DEALER,800-859-8445,El Monte
39888,Nissan of Elk Grove,E,Non-Networked,,Elk Grove,,CA,95757,38.40209,-121.38584,2,4,"CHADEMO,J1772",Dealership business hours,CAR_DEALER,916-405-5000,Elk Grove
39889,Mossy Nissan - Escondido,E,Non-Networked,,Escondido,,CA,92029,33.116492,-117.106837,0,1,J1772,Dealership business hours,CAR_DEALER,760-746-5050,Escondido
39890,McCrea Nissan,E,Non-Networked,,Eureka,,CA,95501,40.8007,-124.16421,0,1,J1772,Dealership business hours,CAR_DEALER,707-442-1741,Eureka
39891,Future Nissan of Folsom,E,Non-Networked,,Folsom,,CA,95630,38.63424,-121.20423,1,3,"CHADEMO,J1772,J1772COMBO",Dealership business hours,CAR_DEALER,916-608-5300,Folsom
39892,Fontana Nissan,E,Non-Networked,,Fontana,,CA,92336,34.13534,-117.44573,1,2,"CHADEMO,J1772,J1772COMBO",Dealership business hours,CAR_DEALER,909-574-2288,Fontana
39893,Premier Nissan of Fremont,E,Non-Networked,,Fremont,,CA,94538,37.49864,-121.9734,1,2,"CHADEMO,J1772",Dealership business hours,CAR_DEALER,510-668-8700,Fremont
39894,Lithia Nissan - Fresno,E,Non-Networked,,Fresno,,CA,93710,36.818622,-119.789796,0,1,J1772,Dealership business hours,CAR_DEALER,559-435-3500,Fresno
39895,Garden Grove Nissan,E,Non-Networked,,Garden Grove,,CA,92844,33.766376,-117.968337,1,2,"CHADEMO,J1772,J1772COMBO",Dealership business hours,CAR_DEALER,888-720-5391,Garden Grove
39896,Gardena Nissan,E,Non-Networked,,Gardena,,CA,90247,33.889201,-118.307028,0,1,J1772,Dealership business hours,CAR_DEALER,310-532-1600,Gardena
39897,South County Nissan,E,Non-Networked,,Gilroy,,CA,95020,36.996869,-121.558573,0,1,J1772,Dealership business hours,CAR_DEALER,408-842-1777,Gilroy
39898,Glendale Nissan,E,Non-Networked,,Glendale,,CA,91204,34.13714,-118.25515,1,1,"CHADEMO,J1772,J1772COMBO",Dealership business hours; contact 630-469-6100 for more information,CAR_DEALER,,Glendale
39899,Santa Barbara Nissan,E,Non-Networked,,Goleta,,CA,93117,34.43427,-119.820934,1,3,"CHADEMO,J1772",Dealership business hours,CAR_DEALER,805-967-1130,Goleta
39901,Hayward Nissan,E,Non-Networked,,Hayward,,CA,94544,37.662305,-122.075178,1,2,"CHADEMO,J1772,J1772COMBO",Dealership business hours,CAR_DEALER,510-372-2800,Hayward
39902,Pedder Nissan,E,Non-Networked,,Hemet,,CA,92545,33.741163,-117.031718,0,1,J1772,Dealership business hours,CAR_DEALER,951-766-1446,Hemet
39903,Surf City Nissan,E,Non-Networked,,Huntington Beach,,CA,92647,33.71069,-117.989861,1,2,"CHADEMO,J1772,J1772COMBO",Dealership business hours,CAR_DEALER,714-500-6000,Huntington Beach
39904,Nissan of Irvine,E,Non-Networked,,Irvine,,CA,92618,33.63255,-117.72335,1,2,"CHADEMO,J1772,J1772COMBO",Dealership business hours,CAR_DEALER,949-385-6044,Irvine
39905,Torre Nissan,E,Non-Networked,,La Quinta,,CA,92253,33.70693,-116.28364,1,2,"CHADEMO,J1772",Dealership business hours,CAR_DEALER,760-777-8999,La Quinta
39906,Nissan of Downtown Los Angeles,E,Non-Networked,,Los Angeles,,CA,90015,34.035168,-118.273229,1,1,"CHADEMO,J1772",Dealership business hours,CAR_DEALER,213-748-4501,Los Angeles
39907,Universal City Nissan,E,Non-Networked,,Los Angeles,,CA,90068,34.133446,-118.356601,1,2,"CHADEMO,J1772",Dealership business hours,CAR_DEALER,818-769-8100,Los Angeles
39908,Razzari Nissan,E,Non-Networked,,Merced,,CA,95340,37.30584,-120.50229,0,1,J1772,Dealership business hours,CAR_DEALER,209-383-0100,Merced
39910,Nissan of Mission Hills,E,Non-Networked,,Mission Hills,,CA,91345,34.269809,-118.466606,0,1,J1772,Dealership business hours,CAR_DEALER,818-838-4444,Mission Hills
39911,Central Valley Nissan,E,Non-Networked,,Modesto,,CA,95356,37.705119,-120.99471,0,1,J1772,Dealership business hours,CAR_DEALER,209-526-3320,Modesto
39912,Metro Nissan of Montclair,E,Non-Networked,,Montclair,,CA,91763,34.082404,-117.694876,1,1,"CHADEMO,J1772,J1772COMBO",Dealership business hours,CAR_DEALER,909-625-5575,Montclair
39913,Metro Nissan of Redlands,E,Non-Networked,,Redlands,,CA,92374,34.06531,-117.21201,1,3,"CHADEMO,J1772,J1772COMBO",Dealership business hours,CAR_DEALER,909-793-3377,Redlands
39914,Napa Nissan,E,Non-Networked,,Napa,,CA,94559,38.2927,-122.27752,0,1,J1772,Dealership business hours,CAR_DEALER,707-253-1551,Napa
39915,Mossy Nissan,E,Non-Networked,,National City,,CA,91950,32.659001,-117.100836,0,1,J1772,Dealership business hours,CAR_DEALER,619-474-7011,National City
39916,Mossy Nissan - Oceanside,E,Non-Networked,,Oceanside,,CA,92056,33.181953,-117.298334,3,2,"CHADEMO,J1772,J1772COMBO",Dealership business hours,CAR_DEALER,760-720-9797,Oceanside
